year,month,day,hour,load,temp,tempf1,tempf2,tempf3,hum,humf1,humf2,humf3,ws,wsf1,wsf2,wsf3,cc,ccf1,ccf2,ccf3
2009,1,1,0,14682,7,14,13,14,-6,-2,2,4,20,9,7,8,1,2,5,4
2009,1,1,1,14090,6,14,13,14,-7,-1,3,4,17,8,7,7,1,2,6,4
2009,1,1,2,13677,6,14,12,13,-8,-1,3,4,17,7,6,6,1,2,6,5
2009,1,1,3,13545,5,14,13,13,-8,0,4,4,16,7,6,5,1,2,6,6
2009,1,1,4,13595,5,14,14,13,-8,1,4,4,17,6,5,5,1,3,7,7
2009,1,1,5,13895,4,14,14,14,-8,2,5,5,17,6,6,5,1,5,7,8
2009,1,1,6,14409,4,15,15,14,-8,4,7,6,16,6,6,5,1,5,8,8
2009,1,1,7,14728,4,16,17,16,-8,4,7,7,17,5,6,6,0,8,9,8
2009,1,1,8,15332,5,18,19,19,-8,6,9,9,18,6,8,7,0,7,9,9
2009,1,1,9,16006,7,21,22,21,-7,9,11,11,19,7,9,8,0,6,8,10
2009,1,1,10,16500,9,24,25,25,-6,11,13,13,18,7,10,10,0,6,8,10
2009,1,1,11,16725,11,27,27,28,-5,13,14,15,18,7,11,11,0,7,8,10
2009,1,1,12,16705,14,29,30,30,-4,15,15,16,16,8,12,12,0,7,9,10
2009,1,1,13,16509,15,31,31,32,-4,17,16,18,19,8,13,12,0,8,9,10
2009,1,1,14,16290,16,32,33,33,-3,18,17,19,20,8,13,12,0,7,9,10
2009,1,1,15,16419,17,31,33,32,-4,18,17,19,15,9,12,12,1,9,9,10
2009,1,1,16,17662,17,31,32,32,-5,18,18,19,13,9,12,11,1,8,8,9
2009,1,1,17,19097,16,31,31,31,-5,18,18,20,13,8,11,11,1,8,8,9
2009,1,1,18,18973,15,31,31,30,-5,18,18,20,12,9,11,10,1,8,7,9
2009,1,1,19,18556,14,30,30,29,-5,17,18,19,9,9,10,9,1,7,7,8
2009,1,1,20,17956,13,28,29,28,-5,17,18,19,9,9,10,9,1,7,6,6
2009,1,1,21,17106,12,27,28,27,-4,17,18,18,6,9,10,9,1,6,6,5
2009,1,1,22,15954,10,27,27,26,-4,18,18,18,7,8,11,9,0,7,5,5
2009,1,1,23,14791,9,27,27,26,-3,17,17,18,8,8,11,9,0,7,6,4
2009,1,2,0,13913,9,25,27,27,-4,18,19,19,8,9,9,10,1,8,6,6
2009,1,2,1,13406,10,25,26,26,-2,17,19,18,8,9,10,11,3,8,6,6
2009,1,2,2,13136,11,25,26,26,-1,17,18,17,7,8,11,11,2,7,6,6
2009,1,2,3,13068,11,24,25,26,0,17,18,17,5,9,11,12,2,6,6,5
2009,1,2,4,13302,11,24,24,25,-1,16,17,16,5,8,12,12,2,5,5,5
2009,1,2,5,13990,11,23,23,25,-1,16,17,16,4,9,12,12,2,4,5,5
2009,1,2,6,15165,11,23,23,25,0,16,16,16,4,9,12,12,3,4,4,5
2009,1,2,7,16131,13,23,24,25,1,15,16,16,6,10,12,13,2,5,4,4
2009,1,2,8,16916,14,24,25,26,3,15,16,16,5,11,13,15,5,4,4,3
2009,1,2,9,17474,16,25,27,27,4,14,16,15,6,12,15,16,4,4,4,3
2009,1,2,10,17684,19,27,28,28,6,14,15,14,7,13,16,18,5,4,4,3
2009,1,2,11,17617,22,28,30,29,9,14,15,13,8,13,17,19,6,4,4,2
2009,1,2,12,17379,26,29,31,30,13,13,15,12,10,14,17,19,7,5,4,2
2009,1,2,13,17091,28,30,32,31,17,12,14,11,11,14,18,19,6,4,5,2
2009,1,2,14,16834,29,30,33,31,19,11,13,11,12,15,17,18,6,4,4,2
